u,v,time
Shalimar Bagh (Pink line),Netaji Subash Place (Pink line),3.0
Netaji Subash Place (Pink line),Shakurpur (Pink line),3.0
Netaji Subash Place (Pink line),Netaji Subash Place (Red line),4.0
Shakurpur (Pink line),Punjabi Bagh West (Pink line),3.2666666666666666
Punjabi Bagh West (Pink line),ESI-BASAIDARAPUR (Pink line),2.9166666666666665
ESI-BASAIDARAPUR (Pink line),Rajouri Garden (Pink line),1.9333333333333333
Rajouri Garden (Pink line),Mayapuri (Pink line),2.8833333333333333
Mayapuri (Pink line),Naraina Vihar (Pink line),3.0
Naraina Vihar (Pink line),Delhi Cantt (Pink line),3.033333333333333
Delhi Cantt (Pink line),Durgabai Deshmukh South Campus (Pink line),4.916666666666667
Durgabai Deshmukh South Campus (Pink line),Sir M.Vishweshwaraiah Moti Bagh (Pink line),3.0
Sir M.Vishweshwaraiah Moti Bagh (Pink line),Bhikaji Cama Place (Pink line),3.0
Bhikaji Cama Place (Pink line),Sarojini Nagar (Pink line),2.216666666666667
Sarojini Nagar (Pink line),Dilli Haat-INA (Pink line),3.0
Dilli Haat-INA (Pink line),South Extension (Pink line),3.0
Dilli Haat-INA (Pink line),Dilli Haat-INA (Yellow line),4.0
South Extension (Pink line),Lajpat Nagar (Pink line),2.783333333333333
Lajpat Nagar (Pink line),Vinobapuri (Pink line),2.9
Lajpat Nagar (Pink line),Lajpat Nagar (Voilet line),4.0
Vinobapuri (Pink line),Ashram (Pink line),2.9833333333333334
Ashram (Pink line),Sarai Kale Khan-Nizamuddin (Pink line),3.0
Sarai Kale Khan-Nizamuddin (Pink line),Mayur Vihar 1 (Pink line),3.0
Mayur Vihar 1 (Pink line),Shree Ram Mandir Mayur Vihar (Pink line),3.0
Shree Ram Mandir Mayur Vihar (Pink line),Trilokpuri-Sanjay Lake (Pink line),3.0
Trilokpuri-Sanjay Lake (Pink line),East Vinod Nagar-Maur Vihar -II (Pink line),3.0
East Vinod Nagar-Maur Vihar -II (Pink line),Mandawali - West Vinod Nagar (Pink line),3.0
Mandawali - West Vinod Nagar (Pink line),IP Extension (Pink line),3.0
IP Extension (Pink line),Anand Vihar ISBT (Pink line),3.0
Anand Vihar ISBT (Pink line),Karkarduma (Pink line),2.25
Karkarduma (Pink line),Karkarduma Court (Pink line),2.3
Karkarduma Court (Pink line),Krishna Nagar (Pink line),1.7833333333333332
Krishna Nagar (Pink line),East Azad Nagar (Pink line),1.6666666666666665
East Azad Nagar (Pink line),Welcome (Pink line),2.4166666666666665
Welcome (Pink line),Jafrabad (Pink line),3.1
Welcome (Pink line),Welcome (Red line),4.0
Jafrabad (Pink line),Maujpur-Babarpur (Pink line),2.283333333333333
Maujpur-Babarpur (Pink line),Yamuna Vihar (Pink line),3.0
Maujpur-Babarpur (Pink line),Maujpur-Babarpur (Pink line branch),4.0
Yamuna Vihar (Pink line),Bhajanpura (Pink line),3.0
Bhajanpura (Pink line),Khajuri Khas (Pink line),3.0
Khajuri Khas (Pink line),Nanksar-Sonia Vihar (Pink line),3.0
Nanksar-Sonia Vihar (Pink line),Jagatpur Wazirabad (Pink line),3.0
Jagatpur Wazirabad (Pink line),Jharoda Majra (Pink line),3.0
Jharoda Majra (Pink line),Burari (Pink line),3.0
Maujpur-Babarpur (Pink line branch),Gokulpuri (Pink line branch),3.0
Gokulpuri (Pink line branch),Johri Enclave (Pink line branch),3.0
Johri Enclave (Pink line branch),Shiv Vihar (Pink line branch),3.0
Sector 55-66 (Rapid Metro),Sector 54 Chowk (Rapid Metro),3.0
Sector 54 Chowk (Rapid Metro),Sector 53-54 (Rapid Metro),3.0
Sector 53-54 (Rapid Metro),Sector-42-43 (Rapid Metro),3.0
Sector-42-43 (Rapid Metro),Phase 1 (Rapid Metro),3.0
Phase 1 (Rapid Metro),Sikandarpur (Rapid Metro),3.0
Sikandarpur (Rapid Metro),Phase 2 (Rapid Metro),3.0
Phase 2 (Rapid Metro),Belvedere Towers (Rapid Metro),3.0
Belvedere Towers (Rapid Metro),Cyber City (Rapid Metro),1.8666666666666667
Cyber City (Rapid Metro),Moulsari Avenue (Rapid Metro),1.6833333333333333
Moulsari Avenue (Rapid Metro),Phase 3 (Rapid Metro),3.0
Shaheed Sthal (First Station) (Red line),Hindon River (Red line),3.0
